centroid_x,centroid_y,major_axis,minor_axis,circularity,area,distance_from_center,filename,time_type,datetime,body_length,movement
644.0,348.0,99.02301788330078,34.37091827392578,0.5395539857621314,2464.5,316.24357700987383,03413.jpg,昼,2024-01-01 18:28:50,66.69696807861328,2.0
643.0,348.0,103.49047088623048,34.9688606262207,0.5279613481333263,2556.0,316.76016163652906,03414.jpg,昼,2024-01-01 18:29:00,69.22966575622559,1.0
643.0,348.0,103.74563598632812,34.2957763671875,0.5193060514526691,2524.0,316.76016163652906,03415.jpg,昼,2024-01-01 18:29:10,69.02070617675781,0.0
643.0,348.0,102.6198959350586,33.77164840698242,0.513837013298281,2545.0,316.76016163652906,03416.jpg,昼,2024-01-01 18:29:20,68.19577217102051,0.0
643.0,348.0,104.42160034179688,35.1738166809082,0.4839886545971864,2563.0,316.76016163652906,03417.jpg,昼,2024-01-01 18:29:30,69.79770851135254,0.0
642.0,348.0,104.51229095458984,34.86989974975586,0.5053738200018013,2577.0,317.2790569829657,03418.jpg,昼,2024-01-01 18:29:40,69.69109535217285,1.0
642.0,348.0,107.22702026367188,34.19336700439453,0.5223168357763726,2587.0,317.2790569829657,03419.jpg,昼,2024-01-01 18:29:50,70.7101936340332,0.0
642.0,348.0,104.97148895263672,34.640968322753906,0.5154162860211547,2601.0,317.2790569829657,03420.jpg,昼,2024-01-01 18:30:00,69.80622863769531,0.0
642.0,348.0,102.8103485107422,34.56276321411133,0.5079109972508884,2604.0,317.2790569829657,03421.jpg,昼,2024-01-01 18:30:10,68.68655586242676,0.0
642.0,348.0,104.1890869140625,35.00736999511719,0.4935346602779444,2587.0,317.2790569829657,03422.jpg,昼,2024-01-01 18:30:20,69.59822845458984,0.0
642.0,348.0,103.32005310058594,35.23420715332031,0.522957912852429,2609.5,317.2790569829657,03423.jpg,昼,2024-01-01 18:30:30,69.27713012695312,0.0
642.0,348.0,104.99290466308594,34.88282012939453,0.5125922045988229,2628.0,317.2790569829657,03424.jpg,昼,2024-01-01 18:30:40,69.93786239624023,0.0
642.0,348.0,107.55580139160156,34.55443572998047,0.5094563076440537,2629.0,317.2790569829657,03425.jpg,昼,2024-01-01 18:30:50,71.05511856079102,0.0
642.0,348.0,107.2109832763672,35.268741607666016,0.4961786700622015,2639.5,317.2790569829657,03426.jpg,昼,2024-01-01 18:31:00,71.2398624420166,0.0
642.0,348.0,106.66071319580078,35.19843292236328,0.4989952560019075,2637.5,317.2790569829657,03427.jpg,昼,2024-01-01 18:31:10,70.92957305908203,0.0
642.0,349.0,98.70043182373048,34.171173095703125,0.5147442589189084,2423.5,316.4253466459348,03428.jpg,昼,2024-01-01 18:31:20,66.4358024597168,1.0
642.0,349.0,100.1880874633789,34.06808853149414,0.5230983940037355,2503.5,316.4253466459348,03429.jpg,昼,2024-01-01 18:31:30,67.12808799743652,0.0
643.0,349.0,101.49978637695312,33.33462142944336,0.5387368135290894,2497.0,315.9050490258109,03430.jpg,昼,2024-01-01 18:31:40,67.41720390319824,1.0
642.0,349.0,101.66722106933594,33.95723342895508,0.5292643926380758,2528.0,316.4253466459348,03431.jpg,昼,2024-01-01 18:31:50,67.81222724914551,1.0
642.0,349.0,101.08885955810548,34.299163818359375,0.510444904774951,2552.0,316.4253466459348,03432.jpg,昼,2024-01-01 18:32:00,67.69401168823242,0.0
642.0,349.0,105.61136627197266,33.99433517456055,0.5206033478448857,2573.5,316.4253466459348,03433.jpg,昼,2024-01-01 18:32:10,69.8028507232666,0.0
642.0,349.0,103.73384857177734,33.70726776123047,0.525954519698074,2565.5,316.4253466459348,03434.jpg,昼,2024-01-01 18:32:20,68.7205581665039,0.0
642.0,349.0,103.4663543701172,34.04369354248047,0.5264596831608074,2573.0,316.4253466459348,03435.jpg,昼,2024-01-01 18:32:30,68.75502395629883,0.0
642.0,349.0,104.38780975341795,34.64666748046875,0.5220194071319731,2580.5,316.4253466459348,03436.jpg,昼,2024-01-01 18:32:40,69.51723861694336,0.0
642.0,349.0,105.67703247070312,34.26869583129883,0.5119418935079666,2595.5,316.4253466459348,03437.jpg,昼,2024-01-01 18:32:50,69.97286415100098,0.0
641.0,349.0,104.22380828857422,34.1719856262207,0.5168967207632158,2613.5,316.9479452528443,03438.jpg,昼,2024-01-01 18:33:00,69.19789695739746,1.0
642.0,349.0,104.1225357055664,34.88584899902344,0.512928104052193,2600.5,316.4253466459348,03439.jpg,昼,2024-01-01 18:33:10,69.50419235229492,1.0
641.0,349.0,107.59378814697266,34.4987678527832,0.506842817325453,2620.5,316.9479452528443,03440.jpg,昼,2024-01-01 18:33:20,71.04627799987793,1.0
